,Score,Action
0,0.0,operator
1,19.55,reask
2,24.34,reask
3,29.26,reask
4,0.0,operator
5,50.02,reask
6,90.0,reask
7,8.02,operator
8,32.37,reask
9,38.75,reask
10,88.94,correct
11,11.31,reask
13,79.93,operator
15,0.0,reask
17,10.33,operator
18,14.08,operator
19,25.39,operator
20,59.89,operator
21,38.01,operator
22,81.88,correct
23,21.63,operator
24,19.19,operator
25,11.06,operator
26,30.7,operator
27,39.53,reask
28,21.56,operator
29,28.62,operator
30,34.41,reask
31,34.41,reask
32,100.0,correct
33,12.86,reask
34,63.49,reask
35,88.54,reask
36,100.0,correct
37,78.99,reask
38,15.25,operator
39,23.9,correct
40,90.0,correct
41,77.39,correct
42,15.05,reask
43,19.95,reask
44,18.05,operator
45,21.46,operator
48,83.34,correct
51,12.38,operator
54,80.35,operator
55,45.23,operator
56,66.13,reask
57,66.22,operator
58,76.34,reask
59,52.04,reask
60,64.19,reask
61,88.07,correct
62,21.79,reask
63,18.93,operator
64,26.42,operator
65,14.18,operator
66,13.03,operator
67,20.06,operator
68,76.3,reask
69,100.0,correct
72,59.89,operator
73,15.74,operator
74,32.95,operator
75,31.34,operator
76,24.01,operator
77,50.3,operator
78,31.34,reask
79,32.95,reask
80,42.91,operator
81,14.2,operator
82,80.06,operator
83,48.89,operator
84,80.26,operator
85,20.3,operator
86,27.75,operator
87,78.74,operator
88,58.21,reask
89,11.73,reask
90,11.19,reask
91,28.78,reask
92,61.93,reask
93,53.73,operator
94,11.78,reask
95,50.74,reask
96,20.93,operator
97,27.67,operator
98,67.0,operator
99,31.25,reask
100,26.67,reask
101,44.25,reask
102,53.95,operator
103,77.24,reask
104,4.84,reask
105,20.36,reask
106,13.88,reask
107,11.12,reask
108,24.87,reask
109,53.45,operator
110,25.27,operator
111,22.92,operator
112,52.95,operator
113,46.38,operator
114,49.28,operator
117,45.16,reask
118,49.86,reask
119,17.42,operator
120,28.62,reask
121,34.54,reask
122,14.45,operator
123,27.21,operator
124,5.03,reask
125,15.79,operator
126,41.45,operator
127,32.29,operator
128,18.35,reask
129,26.42,reask
130,33.21,operator
131,24.49,operator
132,38.37,operator
134,32.61,operator
135,16.36,reask
136,25.47,reask
137,21.45,reask
138,77.23,correct
139,26.32,operator
141,81.08,reask
142,100.0,correct
143,80.63,reask
144,30.7,reask
145,57.8,reask
146,18.25,operator
147,0.0,operator
148,30.7,operator
149,100.0,correct
150,28.57,operator
155,9.94,operator
156,31.32,operator
157,11.24,operator
158,16.58,operator
159,35.57,reask
165,20.88,operator
166,100.0,correct
167,29.05,operator
168,100.0,correct
169,50.33,reask
170,39.02,reask
171,81.31,correct
172,13.72,reask
173,10.79,operator
174,8.32,operator
175,18.62,reask
176,35.57,reask
177,4.97,operator
178,8.82,operator
179,8.98,operator
180,59.89,operator
182,66.45,reask
183,33.38,operator
184,35.02,operator
185,58.11,operator
186,12.04,operator
187,52.23,reask
188,81.56,correct
190,38.01,reask
191,24.23,reask
192,62.16,reask
193,41.29,operator
194,38.01,reask
195,22.24,reask
196,14.99,reask
197,5.94,operator
198,38.01,reask
199,38.75,reask
200,58.45,reask
201,100.0,correct
202,54.72,reask
203,19.65,operator
204,25.05,operator
205,7.89,operator
206,18.22,reask
207,79.23,correct
209,46.39,reask
210,37.16,reask
211,77.64,correct
213,44.98,operator
215,16.43,operator
218,42.36,reask
219,48.54,operator
220,7.07,reask
221,16.32,operator
222,100.0,correct
223,33.59,reask
224,13.22,reask
225,18.85,reask
227,79.23,correct
228,70.15,reask
229,32.41,operator
230,32.77,reask
231,15.05,operator
232,10.73,operator
233,19.62,reask
234,66.64,operator
235,100.0,operator
236,11.19,operator
237,11.35,operator
238,32.78,reask
239,15.77,operator
240,22.23,operator
242,63.32,reask
243,41.07,reask
244,0.0,operator
245,0.0,operator
246,29.71,reask
247,36.3,reask
248,14.68,operator
249,13.78,operator
250,53.15,reask
251,48.03,reask
252,25.03,operator
253,25.03,operator
254,13.58,operator
255,35.06,operator
258,33.59,reask
